(SCHEMES,"Schemes",3)
(RIGHT_PAREN,")",36)
(PERIOD,".",36)
(RULES,"Rules",38)
(COLON,":",38)
(ID,"cr",39)
(LEFT_PAREN,"(",39)
(ID,"b",39)
(COMMA,",",39)
(ID,"a",39)
(RIGHT_PAREN,")",39)
(COLON_DASH,":-",39)
(ID,"cr",39)
(LEFT_PAREN,"(",39)
(ID,"b",39)
(COMMA,",",39)
(ID,"a",39)
(RIGHT_PAREN,")",39)
(PERIOD,".",39)
(QUERIES,"Queries",40)
(COLON,":",40)
(ID,"snap",41)
(LEFT_PAREN,"(",41)
(STRING,"'33333'",41)
(COMMA,",",41)
(STRING,"'Snoopy'",41)
(COMMA,",",41)
(STRING,"'12 Apple St.'",41)
(COMMA,",",41)
(STRING,"'555-1234'",41)
(RIGHT_PAREN,")",41)
(Q_MARK,"?",41)
(ID,"snap",42)
(LEFT_PAREN,"(",42)
(ID,"S",42)
(COMMA,",",42)
(STRING,"'Snoopy'",42)
(COMMA,",",42)
(ID,"A",42)
(COMMA,",",42)
(ID,"P",42)
(RIGHT_PAREN,")",42)
(Q_MARK,"?",42)
(ID,"csg",43)
(LEFT_PAREN,"(",43)
(ID,"C",43)
(COMMA,",",43)
(STRING,"'33333'",43)
(COMMA,",",43)
(ID,"G",43)
(RIGHT_PAREN,")",43)
(Q_MARK,"?",43)
(ID,"snap",44)
(LEFT_PAREN,"(",44)
(ID,"S",44)
(COMMA,",",44)
(ID,"N",44)
(COMMA,",",44)
(ID,"A",44)
(COMMA,",",44)
(ID,"P",44)
(RIGHT_PAREN,")",44)
(Q_MARK,"?",44)
(ID,"csg",45)
(LEFT_PAREN,"(",45)
(ID,"C",45)
(COMMA,",",45)
(ID,"S",45)
(COMMA,",",45)
(ID,"G",45)
(RIGHT_PAREN,")",45)
(Q_MARK,"?",45)
(ID,"cp",46)
(LEFT_PAREN,"(",46)
(ID,"C",46)
(COMMA,",",46)
(ID,"Q",46)
(RIGHT_PAREN,")",46)
(Q_MARK,"?",46)
(ID,"cdh",47)
(LEFT_PAREN,"(",47)
(ID,"C",47)
(COMMA,",",47)
(ID,"D",47)
(COMMA,",",47)
(ID,"H",47)
(RIGHT_PAREN,")",47)
(Q_MARK,"?",47)
(ID,"cr",48)
(LEFT_PAREN,"(",48)
(ID,"C",48)
(COMMA,",",48)
(ID,"R",48)
(RIGHT_PAREN,")",48)
(Q_MARK,"?",48)
(EOF,"",51)
Total Tokens = 355
